"","Item","Subgroup_1_Difficulty","Subgroup_1_SE","Subgroup_2_Difficulty","Subgroup_2_SE","Z","p_value"
"beta I1",1,2.42335449302314,0.442781317615046,0.96603179613232,0.314430317252921,2.68350463690215,0.00728549649120125
"beta I2",2,0.0707762847991203,0.321586303029385,0.0363372569788345,0.293168619878172,0.0791407844324359,0.936920643941362
"beta I3",3,0.594263226697567,0.319739943886385,0.966029722479283,0.314438623810031,-0.829007598951863,0.407100107312015
"beta I4",4,-0.997142413823849,0.368902071698093,-0.409379236950386,0.296796126168802,-1.24138690154527,0.214462855559536
"beta I5",5,-1.4640314205427,0.410058920089116,-1.19594930590605,0.327071096437652,-0.511097485205076,0.609282796778626
"beta I6",6,0.385558973843939,0.318814536990375,-0.140750545415602,0.293512656707518,1.21451317974135,0.224551820051255
"beta I7",7,0.281227836205683,0.31918171536027,1.06946709842706,0.319215176850481,-1.74615300778933,0.0807843679360589
"beta I8",8,0.805526074302585,0.322983063165665,0.671555226764569,0.303512663961888,0.30227174770651,0.762444913671742
"beta I9",9,0.913134739146366,0.325556033069171,0.21388665202914,0.294245526689201,1.59345635848681,0.111057851179379
"beta I10",10,-1.14207938214103,0.380190362073955,-1.08769752393109,0.320932372723809,-0.109302308109948,0.912962715958837
"beta I11",11,-0.860230889200344,0.359385449660991,-0.500667050355917,0.298689513142049,-0.769442575459954,0.441630622030173
"beta I12",12,0.28122783830404,0.319181667071128,0.484931610607235,0.298606387497998,-0.466051419537003,0.64117869543781
"beta I13",13,-1.46403142119853,0.410058673600283,-1.55164746500503,0.352228563324176,0.162081637557913,0.871241566096751
"beta I14",14,-2.08121176838429,0.489095833913289,-2.14920474982524,0.414343453446295,0.106071456935073,0.915525657425461
"beta I15",15,0.281227837125284,0.319181469178752,0.393648396544964,0.296772361730129,-0.257943955789485,0.796450160576424
"beta I16",16,-0.860230886394416,0.359385081326699,-0.409379235183649,0.296796272985245,-0.967293135305436,0.333397514430721
"beta I17",17,0.281227839846283,0.319182080767877,0.393648399158589,0.296772617762969,-0.257943587278589,0.79645044498488
"beta I18",18,-0.0361049945470746,0.323657814976871,-0.140750545488788,0.293512544359474,0.239504269931583,0.810714585873314
"beta I19",19,-1.14207938096886,0.380190910538233,-0.500667045660053,0.298689756162905,-1.32663533105444,0.184629342588565
"beta I20",20,0.913134735790914,0.325555950875008,0.484931608038042,0.29860649683432,0.969310141474437,0.332390470817554
"beta I21",21,1.0226795050397,0.32883695210295,0.865493033546642,0.310266511004866,0.34767681437184,0.728082911069153
"beta I22",22,1.36872846129902,0.343842352331615,0.671555226764569,0.303512675201013,1.520099515904,0.128485966269611
"beta I23",23,1.02267950363951,0.328836782680681,0.393648396844849,0.296772329756032,1.42008513388917,0.155582897670159
"beta I24",24,-0.368499549792336,0.333788983883232,0.303378745570724,0.295323654526863,-1.50753337889389,0.131673994718203
"beta I25",25,-0.729931669662236,0.351322041470972,-0.882075224973391,0.311081235065932,0.324224757336179,0.745767879952959
"beta I26",26,1.24980368278799,0.337859662847268,1.17626847231979,0.324668405113998,0.156935064292405,0.875296024932683
"beta I27",27,-0.0361049972285968,0.323658250149724,-0.14075054654415,0.293512349790475,0.239504161152878,0.810714670212206
"beta I28",28,-0.729931672425119,0.351321926249128,0.0363372567977305,0.293168617218755,-1.67463002038773,0.0940068453826473
"beta I29",29,-0.368499550028434,0.333788512917773,-1.08769752283275,0.320931764996588,1.55318769743226,0.120378299584062
"beta I30",30,0.385558964486671,0.318814336805082,1.06946709906775,0.319215092960451,-1.51590494642957,0.129543389382739
